기관ID,주소,병원분류명,응급실운영여부(T/F),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,평일진료시간,토요일진료시간,일요일진료시간,공휴일진료시간,병원경도,병원위도,진료과
A1117013,서울특별시 동대문구 답십리로 130 (답십리동),의원,F,설과 추석 연휴에는 휴진 가능.,소아청소년과 전문의.,답십리래미안위브아파트 상가,연세키즈소아청소년과의원,02-2216-7575,02-2227-7777,09:00~19:00,09:00~14:00,10:00~14:00,10:00~14:00,127.0514373,37.57217737,"내과,피부과"
A1119511,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 222호 (대치동)",의원,F,설과 추석 연휴에는 휴진 가능.,소아청소년과 전문의.,대치역 1번 출구,연세키즈소아청소년과의원,02-501-0622,02-2227-7777,09:00~18:00,09:00~13:00,10:00~14:00,10:00~14:00,127.0603576,37.49367642,가정의학과
A1120868,"서울특별시 영등포구 여의대로 24, 전국경제인연합회회관 4층 (여의도동)",의원,F,점심시간 13:30~14:30,소아청소년과 전문의.,보물마트 2층,연세탄탄재활의학과의원,02-780-5525,02-2227-7777,09:00~19:00,09:00~13:00,10:00~14:00,10:00~14:00,126.9199179,37.5221797,내과
A1100425,"서울특별시 서초구 동작대로 118, 5층 502호 (방배동)",의원,F,평일 13:00-14:00 휴게시간,소아청소년과 전문의.,5층 502호,연세탑뷰티의원,02-533-4287,02-2227-7777,10:00~19:00,10:00~15:00,10:00~14:00,10:00~14:00,126.9827455,37.4870051,내과
A1106881,"서울특별시 양천구 신정중앙로 103, 8층 (신정동, 담우빌딩)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,목동역1번출구 맞은편,연세탑비뇨기과의원,02-2605-2580,02-2227-7777,09:30~18:30,09:30~15:00,10:00~14:00,09:30~13:00,126.8632874,37.52652731,피부과
A1123664,"서울특별시 강남구 논현로 611, 4층일부 (논현동)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,목동역1번출구 맞은편,연세탑성형외과의원,02-515-7666,02-2227-7777,09:30~19:30,09:30~16:30,10:00~14:00,09:30~13:00,127.0331025,37.50824241,피부과
A1101837,"서울특별시 서대문구 북아현로 4, 3층 (북아현동)",의원,F,평일 13:00-14:00 휴게시간,소아청소년과 전문의.,목동역1번출구 맞은편,연세탑의원,02-312-7416,02-2227-7777,09:30~18:30,09:30~14:00,10:00~14:00,09:30~13:00,126.9564459,37.55782116,피부과
A1103780,"서울특별시 서초구 신반포로 157, 1동 3층 (잠원동, 반포쇼핑상가)",의원,F,평일 13:00-14:00 휴게시간,소아청소년과 전문의.,반포쇼핑상가,연세탑의원,02-593-8181,02-2227-7777,09:30~18:00,09:30~12:00,10:00~14:00,09:30~13:00,127.0014612,37.50551303,피부과
A1103630,서울특별시 강동구 고덕로 86 (암사동),의원,F,점심시간12:30~14:00,"내과, 혈액투석실(인공신장실)",신암중 인근,연세정형외과의원,02-441-2111,02-2227-7777,09:30~18:00,09:30~15:00,10:30~12:00,09:30~12:00,127.1348919,37.55455138,"내과,피부과"
A1100672,"서울특별시 강서구 수명로 68-11, 3층 301~303호 (내발산동, 발산타워)",의원,F,화요일 격주 진료,소아청소년과 전문의.,신한은행 발산동점 인근,연세태산내과의원,02-2667-8275,02-2227-7777,09:00~18:00,09:00~14:00,09:30~13:30,09:30~13:00,126.826646,37.55227271,내과
A1119977,"서울특별시 관악구 남부순환로 1925, 7층 (봉천동)",의원,F,화요일 격주 진료,소아청소년과 전문의.,신한은행 발산동점 인근,연세탱탱피부과의원,02-6083-3927,02-2227-7777,10:00~18:30,10:00~16:00,09:30~13:30,09:30~13:00,126.963275,37.47752565,내과
A1119325,"서울특별시 송파구 송파대로 167, B동 206호 (문정동, 문정역테라타워)",의원,F,화요일 격주 진료,소아청소년과 전문의.,신한은행 발산동점 인근,연세테라이비인후과의원,02-2054-3210,02-2227-7777,09:10~18:00,09:30~13:00,09:30~13:30,09:30~13:00,127.1222356,37.48504694,내과
A1101839,"서울특별시 구로구 천왕로 32, 천왕에이스프라자 301호 (천왕동)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,천왕이펜하우스아파트 인근,연세튼튼소아청소년과의원,02-2685-7582,02-2227-7777,09:00~18:30,09:00~14:00,12:00~16:00,09:30~13:00,126.8397845,37.48057987,내과
A1121059,"서울특별시 관악구 봉천로7길 33, 2층 (봉천동)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,천왕이펜하우스아파트 인근,연세튼튼의원,02-875-7510,02-2227-7777,09:00~19:00,09:00~14:00,12:00~16:00,09:30~13:00,126.9258405,37.49066281,가정의학과
A1116849,"서울특별시 송파구 송파대로 382, 7층 (송파동, 송파두성빌딩)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,송파역 1번출구 미스터피자 건물 내,연세튼튼의원,02-418-6250,02-2227-7777,09:00~18:30,09:00~13:30,12:00~16:00,09:30~13:00,127.1112188,37.50133048,가정의학과
A1100926,"서울특별시 강남구 학동로 207, 4,5층 (논현동)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,"학동역 9번출구,K-스퀘어빌딩 4,5층",연세튼튼정형외과의원,25677765,02-2227-7777,09:00~18:00,09:00~13:00,12:00~16:00,09:30~13:00,127.0316079,37.51456571,정형외과
A1118006,"서울특별시 용산구 한강대로 295 (갈월동, 남영빌딩)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,숙대입구 9번출구 앞 남영빌딩 403호,연세티트리의원,02-703-8213,02-2227-7777,09:30~20:00,09:30~15:00,12:00~16:00,09:30~13:00,126.9717696,37.5445555,피부과
A1119949,"서울특별시 성동구 왕십리로 410, L동 2층 224, 225, 226호 (하왕십리동, 센트라스)",의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,숙대입구 9번출구 앞 남영빌딩 403호,연세파스텔피부과의원,02-2296-7007,02-2227-7777,10:00~19:00,09:30~15:00,12:00~16:00,09:30~13:00,127.0240824,37.56659122,피부과
A1106761,서울특별시 은평구 불광로 17 (대조동),의원,F,점심시간 13:00~14:00,소아청소년과 전문의.,6호선 불광역 7번출구 대조전통시장 인근,연세팜스의원,02-387-2755,02-2227-7777,10:00~19:00,10:00~15:00,12:00~16:00,09:30~13:00,126.9280598,37.61005726,피부과
A1104667,"서울특별시 중랑구 면목로 220, 학림빌딩 1층 (면목동)",의원,F,"진료시간 30분전 접수마감 일요일, 공휴일은 휴진 가능성 있으니 전화문의 후 방문 바랍니다",척추관절전문.,용마산역 3번 출구,연세정형외과의원,02-2209-8275,02-2227-7777,09:00~18:00,09:00~13:00,09:00~11:30,09:00~11:30,127.0841342,37.57258235,가정의학과
A1121990,"서울특별시 강남구 개포로 504, 메트하임 5,7층 503,708호 (개포동)",의원,F,1째주 수요일 휴진 3째주 토요일 휴진,소아청소년과 전문의.,고려병원근처,연세펠리체여성의원,02-448-5656,02-2227-7777,09:30~20:00,09:30~13:30,12:00~16:00,09:30~13:00,127.0671869,37.48905462,피부과
A1104212,서울특별시 관악구 신림로 105 (신림동),의원,F,평일 점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",고려병원근처,연세편한내과의원,02-872-3030,02-2227-7777,08:30~18:00,09:00~14:00,12:00~16:00,09:30~13:00,126.93759,37.47051943,"내과,피부과"
A1103233,"서울특별시 영등포구 도신로 89, 2,3층 (도림동)",의원,F,점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",LG전자 하이프라자 2층,연세푸른내과의원,02-842-0875,02-2227-7777,09:00~18:00,09:00~16:00,12:00~16:00,09:00~13:00,126.902096,37.50727385,내과
A1117759,"서울특별시 금천구 독산로 136, 401,402호 (시흥동)",의원,F,평일 점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",LG전자 하이프라자 2층,연세푸른안과의원,02-809-7172,02-2227-7777,09:00~18:00,09:00~14:00,12:00~16:00,09:00~13:00,126.9052323,37.45950197,안과
A1103684,"서울특별시 중랑구 신내로 211, 203호 (신내동, 금강리빙스텔)",의원,F,평일 점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",봉화산역 3번출구,연세푸른이비인후과의원,02-3423-3900,02-2227-7777,09:00~18:30,09:00~14:00,12:00~16:00,09:00~13:00,127.0926771,37.61644511,가정의학과
A1104213,"서울특별시 구로구 경인로59길 8, 3층 (신도림동)",의원,F,점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",신도림역하고 구로역 중간 우리은행3층,연세푸른이비인후과의원,02-2636-7550,02-2227-7777,09:00~18:30,09:00~13:00,12:00~16:00,09:00~13:00,126.8834263,37.50639257,가정의학과
A1102352,"서울특별시 영등포구 도신로 88, 2층 (신길동)",의원,F,점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",신길우성5차아파트 인근,연세푸른이비인후과의원,02-842-8275,02-2227-7777,09:00~18:00,09:00~13:00,12:00~16:00,09:00~13:00,126.9020917,37.50683748,가정의학과
A1104200,"서울특별시 광진구 자양로 112, 2층 3호 (구의동)",의원,F,점심시간 13:00~14:00,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",신길우성5차아파트 인근,연세푸름의원,02-469-2246,02-2227-7777,09:00~18:00,09:00~13:00,12:00~16:00,09:00~13:00,127.0722689,37.55636146,가정의학과
A1102916,"서울특별시 서초구 잠원로3길 40, 301호 (잠원동, 태남빌딩)",의원,F,평일 진료접수 17시 45분까지,"연세편한내과는 위, 대장내시경 및 종합건강검진의원입니다. 환자분들이 보다 편안하고 편리한 진료를 받으실 수 있도록 항상 고민하고 노력하고 있으며 철저한 내시경 소독관리로 안전한 진료를 약속드리고 있습니다. 관악구 신림동 위치, 고혈압, 당뇨, 내시경, 만성피로, B형, C형 간염 위, 대장, 종합검진, 고시생검진",신길우성5차아파트 인근,연세프라임안과의원,02-537-7585,02-2227-7777,09:30~18:00,09:30~13:00,12:00~16:00,09:00~13:00,127.0036751,37.50820661,안과
A1119164,"서울특별시 은평구 가좌로7다길 9, 2층, 지하1층 (응암동)",의원,F,목요일 야간진료 예약제/ 점심 13:00~14:00,토요일진료 한달에 두번 휴진(연락문의)/,응암우성아파트 인근,연세플러스마취통증의학과의원,02-307-0566,02-2227-7777,09:00~18:30,09:00~13:00,12:00~16:00,09:00~13:00,126.918347,37.58511871,내과
A1102198,"서울특별시 중랑구 신내로 201, 2층 (신내동, 홈플러스)",의원,F,진료시간 30분전 접수마감 2.4째주 일요일 휴진,토요일진료 한달에 두번 휴진(연락문의)/,홈플러스 2층,연세플러스의원,02-3421-3330,02-2227-7777,10:00~19:00,10:00~16:00,10:00~16:00,10:00~18:00,127.0937561,37.61581908,가정의학과
A1107198,"서울특별시 마포구 마포대로 68 (도화동, 아크로타워 307, 308호)",의원,F,평일 12:30-14:00 휴게시간,토요일진료 한달에 두번 휴진(연락문의)/,홈플러스 2층,연세플러스의원,02-719-6277,02-2227-7777,10:00~16:30,10:00~13:30,10:00~16:00,10:00~18:00,126.9487164,37.54114602,"내과,피부과"
A1103984,"서울특별시 마포구 양화로 156, 302호 (동교동, 엘지팰리스빌딩)",의원,F,"점심 13:00~14:00 일요일 2,4주 휴진",토요일진료 한달에 두번 휴진(연락문의)/,홍대입구역 근처/,연세피부과의원,02-322-8008,02-2227-7777,10:00~19:00,10:00~14:00,10:00~17:00,10:00~17:00,126.9234501,37.55608847,피부과
A1105748,서울특별시 관악구 남부순환로 1942 (봉천동),의원,F,"점심 13:00~14:00 일요일 2,4주 휴진",토요일진료 한달에 두번 휴진(연락문의)/,낙성대역 근처/,연세피부과의원,02-883-1338,02-2227-7777,10:00~18:00,10:00~13:00,10:00~17:00,10:00~17:00,126.9644944,37.47642796,피부과
A1102462,서울특별시 동작구 시흥대로 664-1 (신대방동),의원,F,"점심 13:00~14:00 일요일 2,4주 휴진",토요일진료 한달에 두번 휴진(연락문의)/,낙성대역 근처/,연세피부과의원,02-843-4414,02-2227-7777,09:30~18:00,09:30~14:00,10:00~17:00,10:00~17:00,126.9085198,37.49083842,피부과
A1105119,서울특별시 노원구 동일로 1529 (상계동),의원,F,점심시간13:00~14:00,일반진료/피부미용/화상(간단한)/,마들역 6번출구/,연세피부과의원,02-934-0998,02-2227-7777,09:00~18:20,09:00~16:20,10:00~17:00,10:00~17:00,127.0572842,37.66496854,피부과
A1105801,서울특별시 강서구 강서로 43 (화곡동),의원,F,평일 13:00-14:00 휴게시간,일반진료/피부미용/화상(간단한)/,마들역 6번출구/,연세필비뇨기과의원,02-2065-3030,02-2227-7777,09:30~19:00,09:30~15:00,10:00~17:00,10:00~17:00,126.8464117,37.5315523,피부과
A1100629,서울특별시 구로구 경인로 31-28 (온수동),의원,F,평일 13:00-14:00 휴게시간,일반진료/피부미용/화상(간단한)/,온수역2번출구 대신교회 인근,연세필의원,02-2619-3130,02-2227-7777,09:30~18:00,09:30~13:00,10:00~17:00,10:00~17:00,126.824971,37.49139976,가정의학과
A1106079,서울특별시 강서구 방화동로 37 (방화동),의원,F,초진은 예약제/평일 점심시간 13:00~14:00,일반진료/피부미용/화상(간단한)/,9호선 공항시장역 2번 출구/,연세하나내과소아청소년과의원,02-2661-6480,02-2227-7777,08:00~17:00,08:00~13:00,10:00~17:00,10:00~17:00,126.8106842,37.56418219,"내과,피부과"
A1118729,"서울특별시 중구 장충단로13길 7, 4층 (을지로6가)",의원,F,점심시간 13:00~14:00,일반진료/피부미용/화상(간단한)/,APM과 밀리오레 사이,연세하나로의원,02-2272-7728,02-2227-7777,09:00~17:00,09:00~13:00,10:00~17:00,10:00~17:00,127.0081815,37.56774667,가정의학과
A1116537,"서울특별시 종로구 종로 335-1, 명제빌딩 2층 (창신동)",의원,F,점심시간 13:00~14:00,일반진료/피부미용/화상(간단한)/,APM과 밀리오레 사이,연세하나마취통증의학과의원,02-964-9166,02-2227-7777,09:30~17:00,09:00~11:00,10:00~17:00,10:00~17:00,127.0146473,37.57301434,내과
A1122074,"서울특별시 송파구 거마로 4, 굿플란트빌딩 2층 (거여동)",의원,F,평일 13:00-14:00 휴게시간,"백내장/안검하수 수술, 소아안과 전문 진료",APM과 밀리오레 사이,연세하늘안과의원,02-6415-5000,02-2227-7777,09:30~18:00,09:00~13:00,10:00~17:00,10:00~17:00,127.14486,37.49335426,안과
A1119423,"서울특별시 강서구 공항대로 103, 2층 206,207호 (마곡동)",의원,F,점심 13:00~14:00,'치료에 마음을 다하고 진심을 담습니다.'라는 모토로 개원 10년차가 된 잠실새내역을 대표하는 치과입니다. 연세대학교 치주과 출신 대표원장과 교정 전문 원장의 협진으로 보다 정확하고 편리한 의료서비스를 제공합니다.,잠실새내역 4번출구 맥스타워 4층,연세하이소아청소년과의원,02-2662-7581,02-2227-7777,09:00~18:30,09:00~13:00,10:00~17:00,10:00~17:00,126.8191692,37.56230034,내과
A1106307,"서울특별시 은평구 통일로 741, 3층 (대조동)",의원,F,점심시간 13:00~14:00,항문(전문)/하지정맥/갑상선/유방/화상/탈장,불광역 7번출구 롯데리아 건물,연세학문외과의원,02-387-6427,02-2227-7777,09:00~18:30,09:00~13:30,10:00~17:00,10:00~17:00,126.9286835,37.61153488,가정의학과
A1122823,"서울특별시 강동구 양재대로 1486, 정남빌딩 2, 4층 401호 (길동)",의원,F,점심시간:13~14시,항문(전문)/하지정맥/갑상선/유방/화상/탈장,미소야건물,연세한마음내과의원,02-476-3690,02-2227-7777,09:00~17:30,09:00~13:00,10:00~13:00,10:00~13:00,127.1405227,37.53836199,내과
A1121337,"서울특별시 관악구 보라매로 12, 관악농협 5층 (봉천동)",의원,F,점심시간:13~14시,항문(전문)/하지정맥/갑상선/유방/화상/탈장,미소야건물,연세한마취통증의학과의원,02-875-7900,02-2227-7777,09:30~19:00,09:30~13:30,10:00~13:00,10:00~13:00,126.9277856,37.49049822,내과
A1103771,서울특별시 동작구 상도로 104 (상도동),의원,F,점심시간 13:00~14:00,토요일 진료시간 바뀔예정(14.12.12 확인)전화후 방문,성대볼링센타(GS 25편의점) 건너편 별약국 2층,연세한이비인후과의원,02-816-3178,02-2227-7777,09:00~18:00,09:00~13:00,10:00~17:00,09:00~16:00,126.9321413,37.50045152,"내과,피부과"
A1120506,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 5층 9,10,25호 (잠실동)",의원,F,평일 13:00-14:00 휴게시간,토요일 진료시간 바뀔예정(14.12.12 확인)전화후 방문,성대볼링센타(GS 25편의점) 건너편 별약국 2층,연세한정형외과의원,02-416-7898,02-2227-7777,09:00~19:00,09:00~14:00,10:00~17:00,09:00~16:00,127.0841884,37.5120856,가정의학과
A1116419,"서울특별시 서초구 중앙로 582, 301호 (우면동, 서초타워)",의원,F,평일 13:00-14:00 휴게시간,점심시간 13-14시,가좌삼거리 성공타워,연세해맑은소아청소년과의원,02-3462-7582,02-2227-7777,08:30~18:00,09:00~13:00,10:00~17:00,09:00~16:00,127.0153307,37.45713507,내과
A1123494,"서울특별시 송파구 오금로 414, 명문빌딩 3층 301호 (가락동)",의원,F,평일 13:00-14:00 휴게시간,예약제로 운영,가좌삼거리 성공타워,연세행복내과의원,02-2088-7768,02-2227-7777,09:00~18:00,09:00~13:00,10:00~17:00,09:00~16:00,127.1359163,37.49720786,가정의학과
A1120385,"서울특별시 영등포구 대림로 245, 대림동근생빌딩 1층 (대림동)",의원,F,점심시간 13:00~14:00,예약제로 운영,공덕역 5번 출구,연세행복한가정의학과의원,02-835-5411,02-2227-7777,09:00~18:30,09:00~14:00,10:00~17:00,09:00~16:00,126.8963796,37.50231408,가정의학과
A1123379,"서울특별시 강서구 양천로 660, 왈도강서캠퍼스 4층 401호 (염창동)",의원,F,점심시간 13:00~14:00,모발이식 전문,뚝섬역 3번출구,연세현대내과의원,02-3665-8222,02-2227-7777,08:00~18:00,08:00~14:00,10:00~13:30,09:00~13:00,126.8701049,37.55213763,내과
A1117280,"서울특별시 은평구 통일로 742, 한화빌딩 4,5층 일부호 (불광동)",의원,F,점심시간13:00~14:00,소아진료(협조가능시)/봉합/교정/턱관절/,불광역 7번 출구,연세큰숲내과의원,02-2038-8270,02-2227-7777,09:00~18:00,09:00~13:00,09:00~14:00,09:00~13:00,126.9288381,37.61092268,내과
A1121526,"서울특별시 강서구 곰달래로53가길 3, 우진타워빌딩 2층 (화곡동)",의원,F,소아 o/ 수액 o 진료시간확인-14.12.12,점심시간 1~2시,대림성모 맞은편,온미래의원,02-2646-7277,02-2019-3333,08:30~20:00,08:30~14:00,09:30~15:00,09:30~15:00,126.8590452,37.53366276,가정의학과
A1101979,"서울특별시 노원구 노원로1길 67, 304호 (공릉동, 대덕프라자)",의원,F,목요일 휴무,모발이식 전문,화랑대역 3번 출구,연세화랑의원,02-971-7588,02-2227-7777,09:30~21:00,09:30~18:00,09:30~18:00,09:30~18:00,127.0836358,37.62082537,내과
A1123549,"서울특별시 강서구 강서로 59, 2,3층 (화곡동)",의원,F,평일 13:00-14:00 휴게시간,모발이식 전문,행당역 4번출구 앞 3층,연세효자정형외과의원,02-2601-7777,02-2227-7777,09:00~19:00,09:00~14:00,09:30~18:00,09:30~18:00,126.8457249,37.53283674,내과
A1117197,"서울특별시 송파구 송파대로32길 15, 상가동 201~202호 (가락동, 가락금호아파트)",의원,F,평일 13:00-14:00 휴게시간,모발이식 전문,다인빌딩 2층,연세후이비인후과의원,02-407-7498,02-2227-7777,09:00~18:30,09:00~13:00,09:30~18:00,09:30~18:00,127.1169048,37.49539096,내과
A1102202,서울특별시 광진구 아차산로 621,의원,F,평일 12:50-13:50 휴게시간,모발이식 전문,서울대입구역 6번 출구,연세훼미리의원,02-454-5223,02-2227-7777,09:30~17:00,09:30~12:00,09:30~18:00,09:30~18:00,127.1070517,37.54839428,가정의학과
A1123236,"서울특별시 강서구 마곡서로 56, 마곡에스비타워Ⅲ 2층 204~213호 (마곡동)",의원,F,1.3주 토요일 휴진,소아청소년과 전문의.,보물마트 2층,연세탄탄의원,02-2662-1202,02-2227-7777,09:00~19:00,09:00~14:00,10:00~14:00,10:00~14:00,126.8239211,37.55900042,가정의학과
A1105110,"서울특별시 서초구 사임당로 158, 리더스원 상가 302,304호 (서초동)",의원,F,평일 점심시간 13:00 ~ 14:00,모발이식 전문,서울대입구역 6번 출구,연세휴가정의학과의원,02-3472-7582,02-2227-7777,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,127.0271768,37.4918503,가정의학과
A1117180,"서울특별시 영등포구 국제금융로 70, 4층 (여의도동, 미원빌딩)",의원,F,평일 점심시간 13:00 ~ 14:00,모발이식 전문,한양아파트단지 맞은편,연세휴재활의학과의원,02-783-7775,02-2227-7777,09:00~19:00,09:00~13:00,09:00~18:30,09:00~18:30,126.9306788,37.52149453,정형외과
A1120261,"서울특별시 서초구 강남대로 375, 505호 (서초동, 서초현대타워아파트)",의원,F,평일 13:00-14:00 휴게시간,모발이식 전문,한양아파트단지 맞은편,연세휴정신건강의학과의원,02-3473-7575,02-2227-7777,10:00~20:00,10:00~14:00,09:00~18:30,09:00~18:30,127.0278549,37.49634833,가정의학과
A1102398,"서울특별시 서대문구 수색로 40, 4층 (남가좌동)",의원,F,점심시간 12:00~13:30,휴업: 2018.10.31,가좌역과 수색역 사이,연세희망내과의원,02-376-0875,02-2227-7777,08:30~18:00,08:30~13:00,09:00~18:30,09:00~18:30,126.9143077,37.56990324,내과
A1119206,"서울특별시 송파구 송파대로 167, A동 2층 213호 (문정동, 문정역테라타워)",의원,F,"토요일 진료는 1주, 3주만 진료합니다.",휴업: 2018.10.31,문정역 3번출구,연세희망피부과의원,02-406-0997,02-2227-7777,09:30~18:30,09:30~13:00,09:00~18:30,09:00~18:30,127.1209314,37.48466312,가정의학과
A1119078,"서울특별시 송파구 법원로 114, C동 205호 (문정동, 엠스테이트)",의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,문정역 4번 출구,연세힐링이비인후과의원,02-2283-1172,02-2227-7777,09:00~18:30,09:00~13:00,09:00~18:30,09:00~18:30,127.1201023,37.48595371,내과
A1118240,"서울특별시 중구 통일로 10, 연세대학교 세브란스빌딩 1층 (남대문로5가)",의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,"서울역 6,7번 출구 연세세브란스빌딩",연세힐링재활의학과의원,02-755-1222,02-2227-7777,10:00~20:00,10:00~13:30,09:00~18:30,09:00~18:30,126.9737756,37.55713094,정형외과
A1100640,서울특별시 송파구 마천로 68 (오금동),의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,"서울역 6,7번 출구 연세세브란스빌딩",연세힐의원,02-402-6438,02-2227-7777,09:30~18:30,09:30~15:00,09:00~18:30,09:00~18:30,127.1278858,37.5076747,"내과,피부과"
A1105957,"서울특별시 송파구 올림픽로35가길 9, 212~216, 301~308호 (신천동, 잠실푸르지오월드마크)",의원,F,점심시간 13-14시입니다.,휴업: 2018.10.31,잠실역 9번출구/ 잠실푸르지오월드마크 2층,연세힐재활의학과의원,02-424-7515,02-2227-7777,09:00~19:00,09:00~14:00,09:00~18:30,09:00~18:30,127.1034468,37.51748354,정형외과
A1107247,"서울특별시 송파구 올림픽로 145 (잠실동, 리센츠상가 3층 27-2호, 28호호)",의원,F,수요일 휴진/평일 점심시간 13:00~14:00,휴업: 2018.10.31,잠실새내역 7번출구,연세힐피부과의원,02-423-5151,02-2227-7777,10:00~20:00,10:00~15:00,09:00~14:00,09:00~18:30,127.0865417,37.51197103,"내과,피부과"
A1106705,"서울특별시 용산구 장문로 94 , (보광동)",의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,잠실새내역 7번출구,연소아과의원,02-795-0977,02-2227-7777,09:00~18:00,09:00~13:00,09:00~14:00,09:00~18:30,126.9999683,37.52599466,이비인후과
A1118488,"서울특별시 은평구 연서로27길 12, 2층 (갈현동, 효성빌딩)",의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,연신내 로데오거리,연신내메이퓨어의원,02-389-9980,02-2227-7777,10:30~20:30,10:00~17:00,09:00~14:00,09:00~18:30,126.9181977,37.61807323,피부과
A1120666,"서울특별시 은평구 통일로 842, 범서빌딩 2층 (불광동)",의원,F,점심시간 13:00~14:00,휴업: 2018.10.31,연신내 로데오거리,연신내바른내과의원,02-359-0012,02-2227-7777,09:00~18:30,09:00~14:00,09:00~14:00,09:00~18:30,126.9220663,37.61868852,가정의학과
A1118467,"서울특별시 강북구 삼양로27길 43 (미아동, 위브테라스파크  202호 일부, 203,204호)",의원,F,교정전문/일반진료X,"예미고피부과(피부과전문의)는 안면주름, 여드름 치료를 특성화 한 병원입니다. 꾸준한 연구, 풍부한 시술 경험을 바탕으로 보톡스, 필러, 레이저를 이용한 주름, 탄력 개선, 여드름(흉터, 자국) 치료에 강점을 갖고 특성화한 피부과입니다. 얼굴에 잡티 등의 색소질환 또한 우수한 치료 결과를 보여 드립니다.",케이엠빌딩5층,예사랑소아청소년과의원,02-985-8872,02-2019-3333,08:30~20:00,08:30~16:00,14:00~18:00,11:00~17:00,127.018848,37.61855058,내과
A1102773,서울특별시 은평구 연서로32길 3 (불광동),의원,F,점심시간 13:00~14:00,"연신내신통방통 신경외과는 풍부한 진료 노하우와 첨단 진단 장비를 보유하고 신경외과 전문의가 주치의가 되어 질병에 대해 하나하나 맞춤형으로 진단해 드립니다. 신경차단술, 프롤로 재생주사, 충격파치료, 견인물리치료 등의 정직한 진료를 통해 합리적인 비용으로 환자 여러분께 보답하겠습니다.",연신내역 3번출구 국민은행 연서지점 방면,연신내정형외과의원,02-357-8872,02-2227-7777,09:00~18:30,09:00~13:00,09:00~14:00,09:00~18:30,126.9249552,37.62036263,"내과,피부과"
